index,content,time,toxic,severe_toxic,obscene,threat,insult,identity_hate,neutral
1,one gests to be here i'm just dickin around i want to get my drink in the camera startalreadybut anyway really important this video i whether you're a fan or not of meif,,5.9876,0.0292,1.1358,0.1093,1.1456,0.299,91.29350000000001
2,if i might holdin iss,,0.6601,0.0031000000000000003,0.1255,0.024800000000000003,0.0642,0.0369,99.0854
3,if you are at all,,10.7827,0.037,1.1347,0.15280000000000002,2.4819,0.7929,84.61800000000001
4,a fan of seeing foodage of video games on the internet of any sort whith they weretalking video clips,,1.1236,0.0013,0.1523,0.0056,0.1148,0.042,98.5604
5,video clips of play-througs whether we're talking live streaming platers streaming of tournaments like streetfighter tournaments starcraft tournaments lduty tournaments m,,26.245400000000004,0.1109,10.7146,0.1111,6.5804,1.0432000000000001,55.1944
6,coverage of e-three video of janes ind e-three that's just going over the internet,,0.9813999999999999,0.0026,0.1773,0.0103,0.12340000000000001,0.0888,98.61619999999999
7,there is a bill that was created that is currently being debated on by congress thares against its up for approval orwhatever and possibly will be signed into law,,0.8654000000000001,0.0014,0.1062,0.01,0.0857,0.0545,98.8768
8,in this bill the bill is s period nine-seven,,1.1282,0.0031000000000000003,0.2205,0.0093,0.1351,0.056999999999999995,98.4468
9,herese with the intent of the bil-ness the bill is intending that they don't wowt people streaming tibe movies that kind of copyrighting content over the internet because,,0.8677,0.0011,0.11249999999999999,0.0058,0.0799,0.036000000000000004,98.897
10,hollywood and the snil these studios are worried about it they worry that their losing profets with his people are duin,,1.3444,0.0025,0.2271,0.0089,0.1631,0.0687,98.1853
11,doing this kind of stuff over the internet nowthe goal of the bill isnot only make it illegal but to have very serious legal consequences for isnumber one you could possibly have massive civil finds which were talking thousands opon thousands of dollars and number two you could actually go to jail for this bubelieved upto five years you can go to jail for doing it,,1.0433,0.0015999999999999999,0.19980000000000003,0.0063,0.1283,0.0718,98.54889999999999
12,i can understand,,0.43870000000000003,0.0015999999999999999,0.11869999999999999,0.0068,0.0485,0.0222,99.3635
13,where they're coming from there with movies antv and that kind of media that is is not changing its not a changing interactive media,,0.5137,0.00019999999999999998,0.086,0.0007,0.036699999999999997,0.0156,99.3471
14,whet i dil understand is that this bill if it goes through the wae worded right-now will actually also apply to video games because video games are considered copyrightend works nazovright now it's perfectly legal to streantournament footage of a video game to stream a playthoroviberiam or to oblo videos of a video game and especially with live commentary for doing commentary on jebasically,,0.1785,0.00039999999999999996,0.0369,0.0026999999999999997,0.0135,0.0131,99.7549
15,making it a transformative work which makes it completely legalyoure doing your own commentary criticism you're turning into a transformed work,,6.2022,0.0181,1.8384999999999998,0.0308,1.2804,0.3365,90.29350000000001
16,other people have also made the argument that just gameplay of video games is completely legal to foot on internet because just the act of you picking up the controller,,1.4254,0.0034999999999999996,0.2212,0.0155,0.1681,0.0921,98.0742
17,an actually interacting with the game creates something that's far different an just watching a stagnat movier tv show that ever changes this your interaction with the game creates a transformative workowthe problem is the way the billa's worded says that copyrighted works cannot be publicly displayed or performed withouthe permission of the copyright holder so essentially what this means is if i wante to a play through of,,0.2191,9.999999999999999e-05,0.0314,0.0006000000000000001,0.013999999999999999,0.0073,99.7275
18,my war fayr three and im gan nthrogh the campaign i need to get exclusive permission from,,3.8258,0.0297,1.2126,0.09430000000000001,0.5025,0.2676,94.06750000000001
19,activision-infinity r whoer you wantsayhe copyright holder of the game todo that and not only interest the campaign but the multiplayers i want ta record a match of you playin togan multiplayer put on the internet i' havgo und of my way to get exclusive permission from this company ake a wild-guest if ior email actdivision if they're ever gonta email me back andtell me if i gedov permission to do a play throughout their gamei'm just never gonto get a response because they're big company they don't care about that kind osufftheyre worried about developing gamesnow,,0.7712,0.0009,0.0833,0.0086,0.0556,0.026699999999999998,99.0537
20,here's the set okay,,1.102,0.0041,0.3027,0.0071,0.1315,0.0667,98.3859
21,because it's worded incorrectly this bill if it does go into law you're talking literally entire businesses wi'll go out of business mchinema for one m,,0.9056,0.0015999999999999999,0.1962,0.0063999999999999994,0.12160000000000001,0.0638,98.7048
22,any other company that puts this kind of footage on te internet half of yutubes going  have to be taken downnto be an insane amount of work to take down all these video game footage video you now whaanyone who has partnership with theseplate things h's gonta be taken it's just s ridiculous it's absolutely ridiculous noi believe that the lawo the way that works ou have to make more than twenty-five hundred dollars in a year,,25.6124,0.051500000000000004,5.6806,0.0957,4.4901,1.0092999999999999,63.060399999999994
23,arm,,4.2174000000000005,0.025099999999999997,1.2477,0.0463,0.6891,0.2124,93.562
24,in order to illegally liable and also you need to have ten ten strikes meaning i could upload nine videos of video game footage and i'm fine,,0.6999,0.0014,0.1114,0.0102,0.07429999999999999,0.0399,99.0629
25,as long as someone asked me to take it down i take it oun but if i opelowed a tens that's itbroken the law and i can either get master fines or i could go tochailno,,1.6868999999999998,0.0022,0.3449,0.0083,0.1815,0.06939999999999999,97.7068
26,first of all i'm not beingan alarm ist here  saying ohoh my god the house's burning downis the end of  internet as we know oka but,,0.7106,0.001,0.1467,0.0046,0.0744,0.0273,99.0354
27,there's a couple thinks first of all this bill is very early its just got introduced i believe in may and it jus just talked about it for the first time on june twentieth soit's not,,0.2929,0.00019999999999999998,0.0526,0.0006000000000000001,0.024800000000000003,0.011000000000000001,99.6179
28,it's not close to being passed yet eh,,3.7721999999999998,0.0091,0.5355000000000001,0.0193,0.5448,0.2751,94.844
29,the thing is a lot of major media allids like tollywood are really pushing hard to get this bill pasti have n,,6.6127,0.036699999999999997,2.1484,0.061799999999999994,1.5102,0.6074999999999999,89.0227
30,i have no problem with the bill if they were amended to make plucking sense the problem is a lot of our lawmakers are out of touch with reality out-of touch with how the internet really works what's actually onplaces like you to and there just us listening to the lobbyests who are talking into their ears saying gatepatis bill whose people are downloading movies anan it's not fair and ea makeses t wich aveable to steal o broadcasting vertov over the nternet bus just pass the bill and heyre not understanding the recussions of the bill on other forms of media primarily video games inparticularso talking just about me i'm saying spukiguys on he west coastapologize as i forgot teir name that they-stream stream fight retournaments anyone who streams any gaming whatsoever will be shut down i'll be shut down anyone who puts gaming footoge will be shut down and so now geswols can happen workin to go back to dark ages before the internet where you don't know ifthe games good or not because you can't actually see footage of ityou can't actually get an honest review ofi,,8.49,0.0083,1.7243000000000002,0.0247,1.0554,0.2798,88.4175
31,icompletely flipped on his head is all is freedom of information that ev ha olis tectechnological advances that weve had is gonna go awaybut it doesn't only apply to video games think about this there's alot of people who on youto have actually made it big singing kerioke justin bever was one of im just in beaver a couple other people of achigatan signe because they were playing soeother artist sand they sang itand they made it big anotergoegues whatthis makes that illegal too you can't do that because that's copyrighted music and you can't put that on the internet how dr you sing ocarioke song on the internet that's gonta make it illegal to that's how absurd this abillitness in its current form andits its ludicrous allot of people are buzzing about this ultra david from the sarca community overunabut a large article aboutanasa lawyer so he knows istuff and  very ey concern that he's like howcan lawmakers,,6.751799999999999,0.0121,0.9946999999999999,0.0431,0.8725999999999999,0.3811,90.9446
32,try to pass a bill without understanding the entire situation of what it il actually affect in its curform through being very lazy basically antheire being very unprofessional in their jobs ad teire basically risking business the risking big business i mean there's a lot of people who are making money off this kind of thigand there's nothing wrong witht actually promotes for example the video games music or whatever it is that being used again being used properly i do not in any way condoned just uploading of v show or uploading or streaming a movie over the uternet for freeantpeople sically stealing an dax nopright t i completely  incorrect you should not be able to o but a ieogame play-through promotsyour game shows people enjoying the game shows people with the games like makes tho want to go-off and byit it's a nobrainer that this stuff is somekind of thing thas hurting business is actually helping business adgovernment is not understanding this because again t jus how these wondruple-oous whispering in their er andtheyre notthinking it through,,1.3028,0.0014,0.2838,0.0042,0.14350000000000002,0.0593,98.205
33,thether this might never een get pase because traditionally what happens in our us government i don't no y novellize international fans i just saw in my latest ask te king episode that forty-five percent of my viewers are actually international which huge ven know thatbutin the us government when typically happens as when they tredito billpass all of a sudden someonels tried to ack something else onothe bill so you'll have a built for this like this andthetill say yebwe have to make sure that in indiana it's illegal to fuk coats because tere was a guylisefi datfuk to o and we got stock those dirty goltfunkers so werer toput an amendment on the bill that is an indiana it's illegal to funkl goansometimes yo just,,6.0003,0.0203,2.2672000000000003,0.0252,1.0796000000000001,0.45310000000000006,90.15429999999999
34,whattefunct does ot have to do with the bill at handand they do alot of times these bills cause they triso much done at want the'll put forty things on the bill and only two of overly are related and the restoo bunch a shipis what happens in the inarlegal e not arlel systemar government is the great governmentso anywaythat might hold up anykind of decision that would be made about this bill,,0.19849999999999998,9.999999999999999e-05,0.0247,0.0011,0.014899999999999998,0.0126,99.7481
35,arm,,4.2174000000000005,0.025099999999999997,1.2477,0.0463,0.6891,0.2124,93.562
36,i really don't forsee that the bill its pass anytime soon traditionally these hendetings take a while there gonna argue on each side there en a halsh-out the builder and try to change it a little bit,,2.9774,0.0077,1.4201,0.012799999999999999,0.41279999999999994,0.11030000000000001,95.05890000000001
37,what i'm really am hoping is that people hear people like meexplaining to the overnalisn this is not right what you're doing is a blanket law that'is actually going to hinder business,,17.0848,0.0324,1.7461,0.06530000000000001,3.2537999999999996,0.7557999999999999,77.0618
38,and,,1.5159,0.018799999999999997,0.4377,0.053399999999999996,0.296,0.1944,97.4838
39,basically shut down freedom of information on the internet youare basically going to go back to thedark ages before the internet existed because you're making a law that's wereinto bennefit a very few little smallbusinesses that were rnamic movies and films and you're fucting over a completely new industry that was created by the internetsoyet have to think before you ac youhave to think before you passe this bill it needs to be amended or changed before its passe in its current form,,6.3062000000000005,0.0222,1.5811,0.0274,1.1638000000000002,0.621,90.2783
40,nowwhal can youas an individual if you are ufcitizenyou have the right to help oyou can write your congress person plainidon't believe that this bill is correct in its current form imnot that i-supporting piracy or anything like anyway butis going to negatively affect lots of different things that have happened people will be lissing karioki songs on unternet anymore people wvr be able o overview of a video game feowil will be able to do so many things thathave helped business ay,,0.7545999999999999,0.0015,0.0728,0.024800000000000003,0.0611,0.0777,99.00750000000001
41,and you can write youre congressmen or wha i'm goingtodo link in this videowhere you can go and you can actually straight from there put in your personal information and send it offcnsend automatically to certain places in the government certain congress people and people who ware trying to push for this bill adyou can write your own messagers already look at the full messanger saying i don't support the bill or you coand write your own arants say listenyou nothiis not right it makes no-sense in its current form you're actually going to hurt things that you don't understand your hurting because you don't know enough about this you'are not educated enough about the subject to pass this bill as it is,,2.6448,0.0023,0.2914,0.012799999999999999,0.3051,0.0952,96.6484
42,soain just ryr fantomine rtand that's why your doing it but thiis an important issue if you have friends wven fantomined witto know shownist video we need to get topic out there now whild fresh while its new whileliterally just happening nowdon't let it wait six months and  the end of the year guess what guys were passing the bill and then for six months no one can put stofanero because the government completely flucked up andhen of course it'll probably get overturned but it will take forever to get overturn itsul be another eurolegal battle,,1.0495,0.0021,0.12589999999999998,0.0289,0.0856,0.077,98.631
43,i can imagine i cannot imagine,,0.7988000000000001,0.0015999999999999999,0.2032,0.0048000000000000004,0.0821,0.0218,98.8877
44,them actually censoring the internet like this but tiis what they're looking othere actuly locompletely sensor things on the internet which is so ridiculous shdoesn't belong i meansing again people should be steeling and uploading movies of videos butwhen you buy a video game you are purchasing a license,,26.2796,0.06080000000000001,3.8448,0.13240000000000002,4.909199999999999,1.6015000000000001,63.17170000000001
45,play a piece of softwareyou're not purchasing the software so if you're uploading the actual gamefiles internetyou deserve tbut if you're just playing the game and ou record your interactive experienced with that gameyoure input created at experience that is atransformative workis protected under you as copyright lawthe problem is noone's talking about hs right nowereally icongress understanding thatand the way the laws furtright out it will not protect at anymore an people runaait screcompanies are gon against internets nat rwowe needreally has a community talk about his get to  discussion goingtell your parents about it till your friends aboutit till your family aboutit everyone involved ins d wehalf te allcollectivelyspeak weont if we just sit here and were lazy andnevey complecent let iloeythiis howf dohho goes wrong in our government people just beakn sitting youre complecentanspeaking up and not trying to take a severyon eeds to doif you're m this kind of stop you need to speak up if you don't wothe unternet to be completely  sensored like this you need to speak do omeing link this video you can do something you can personally contact your own congressmen,,24.5501,0.0775,4.0932,0.2702,5.6138,1.1563,64.2389
46,and talk about it but it needs to be brought up and it needs to be understood i just i dot,,0.1959,9.999999999999999e-05,0.0189,0.0009,0.0114,0.007600000000000001,99.7652
47,feel negatively abow,,26.7251,0.3525,6.1508,0.5616,8.8674,2.287,55.055600000000005
48,the senate or the congressary in ol vokers voting on the bill i don't feel negatively about them i justhink they're misinform i think that their intentions are in the right place they don't want people stealing tevian movies and uploading into the internatworal streaming and for free over the internet that's not right but at the flipsite of it they need to understand that repercussions of their actions for passing the billanan's current form are going to negatively hurt,,0.5912,0.002,0.131,0.0077,0.0712,0.0958,99.1011
49,information business its going to be a disaster so please,,1.4732,0.0063,0.4733,0.0183,0.24489999999999998,0.10250000000000001,97.6815
50,ease pleadings speak up,,1.9817999999999998,0.0034999999999999996,0.3477,0.0088,0.1808,0.0476,97.4298
51,say somethingtelefron tlrelative spread the word get everyone talking about this and get them to go and talk to their c u hdon't fuis not we need tstand right now and saydisbild needs to be amended so make sense for what you're really trying to do because not all copyrighted works or what you're thia lot of variation in what a copyrighted works is not all just an unchanging tv show there' things that are completely differentyouno nos really copyrighted in a video game the software itself not te experience so when you say ok a public display of a copyrighted workthe public display would be if iturned on of computer monitor haecoding for the gameactual coding lines of the game if i publicly displayed that would be a violation of this law but would heire not understanding is that,,0.3182,0.00030000000000000003,0.0455,0.0018,0.0263,0.0315,99.57639999999999
52,the situation where if you're playing again actual broadcast of that is a transformative workhis needs tobe fleshed out for e logets past irls belont people orgun against,,1.3274,0.0013,0.1544,0.006200000000000001,0.1399,0.042499999999999996,98.3283
53,sorry to be like alarmis buti'm not a washdog or anything like that bu gs couple messages about this already an themore i look into it then i read ultradavidsarle anunliketiis uthiis our time as americans to exercise our right to speak to our governmet an say absolutely this owthat we want and by the way it's not fair it's can be harmful to business thats can be harmful to a lot of different things andyou're not doing what you're intending woith this law on its current form,,0.3509,0.00030000000000000003,0.0451,0.003,0.0272,0.025300000000000003,99.5482
54,all right that's it again please please i'm very serious about this you haf to tell people get peoble to-watch this video get people talking about the subject get people to write use the linktal oever you need to and your own government in,,0.4209,0.0007,0.0701,0.0036999999999999997,0.0406,0.0333,99.4307
55,let's si let's get this awareness outdear and let's make this happen right thanks allot,,0.6105,0.0006000000000000001,0.0766,0.004,0.054,0.021900000000000003,99.2324
